,MA_Spread_50_200,Distance_MA_20,Distance_MA_50,ROC_5,ROC_10,ROC_20,RSI_14,RSI_28,ATR_14,Return_Vol_Ratio,Close_Position,Breakout_20,ZScore_Returns
MA_Spread_50_200,1.0,0.08678285241266041,0.30252936692697774,0.01913750420462503,0.05073254544637342,0.14843527155802763,0.0813887184984566,0.21084362486349534,-0.05866124856964028,0.13585982509369363,0.004285719560052102,0.027201524384908866,-0.014409378239222417
Distance_MA_20,0.08678285241266041,1.0,0.8020891533534629,0.7267332124826951,0.8930367119979755,0.8334877021309486,0.9071679984001514,0.7014306968702386,0.08549957335450485,0.8250756358219065,0.029395065783024116,0.64775813989915,0.18031304984138763
Distance_MA_50,0.30252936692697774,0.8020891533534629,1.0,0.4839549322321696,0.6610422271597397,0.868721696061601,0.737228906977943,0.912589344439631,0.06957199121140462,0.8490280230558275,0.02121314652865695,0.5217714235120114,0.04300510341386806
ROC_5,0.01913750420462503,0.7267332124826951,0.4839549322321696,1.0,0.6517982297511922,0.45928723736524796,0.544228738342593,0.39624433239214785,0.04962906424604899,0.4628693299070964,0.01787290655415225,0.5753901611415421,0.3100570950704478
ROC_10,0.05073254544637342,0.8930367119979755,0.6610422271597397,0.6517982297511922,1.0,0.6632759262759534,0.796913981824509,0.5651215001639218,0.07965590502130784,0.6617664740501943,0.02560180372792499,0.5928431018708019,0.14348401887223633
ROC_20,0.14843527155802763,0.8334877021309486,0.868721696061601,0.45928723736524796,0.6632759262759534,1.0,0.7738959438799252,0.8171727084536804,0.07870043444132,0.9822677096129604,0.024988298418945617,0.5447138799796958,-0.0013116687713092949
RSI_14,0.0813887184984566,0.9071679984001514,0.737228906977943,0.544228738342593,0.796913981824509,0.7738959438799252,1.0,0.677271281187376,0.09434015447331924,0.7916547431209295,0.02347023200607458,0.5886725843694537,0.07533534798189234
RSI_28,0.21084362486349534,0.7014306968702386,0.912589344439631,0.39624433239214785,0.5651215001639218,0.8171727084536804,0.677271281187376,1.0,0.0940770934327129,0.8230173871246163,0.013278189897446543,0.4787224138396563,0.0007824742671418796
ATR_14,-0.05866124856964028,0.08549957335450485,0.06957199121140462,0.04962906424604899,0.07965590502130784,0.07870043444132,0.09434015447331924,0.0940770934327129,1.0,0.09598311271010729,-0.014601823378457748,0.038337520898785546,-0.011778331212825281
Return_Vol_Ratio,0.13585982509369363,0.8250756358219065,0.8490280230558275,0.4628693299070964,0.6617664740501943,0.9822677096129604,0.7916547431209295,0.8230173871246163,0.09598311271010729,1.0,0.023821879844912776,0.559450946886039,0.0008841046770742098
Close_Position,0.004285719560052102,0.029395065783024116,0.02121314652865695,0.01787290655415225,0.02560180372792499,0.024988298418945617,0.02347023200607458,0.013278189897446543,-0.014601823378457748,0.023821879844912776,1.0,0.010046447660707567,0.005519349619726298
Breakout_20,0.027201524384908866,0.64775813989915,0.5217714235120114,0.5753901611415421,0.5928431018708019,0.5447138799796958,0.5886725843694537,0.4787224138396563,0.038337520898785546,0.559450946886039,0.010046447660707567,1.0,0.42541552342872074
ZScore_Returns,-0.014409378239222417,0.18031304984138763,0.04300510341386806,0.3100570950704478,0.14348401887223633,-0.0013116687713092949,0.07533534798189234,0.0007824742671418796,-0.011778331212825281,0.0008841046770742098,0.005519349619726298,0.42541552342872074,1.0
