Feature,IC,Max_Corr,Max_Corr_With,Status
Close_Position,-0.753,0.029395065783024116,Distance_MA_20,KEEP
Distance_MA_20,-0.065,0.9071679984001514,RSI_14,KEEP
MA_Spread_50_200,-0.057,0.30252936692697774,Distance_MA_50,KEEP
RSI_14,-0.054,0.9071679984001514,Distance_MA_20,DROP
ROC_10,-0.054,0.8930367119979755,Distance_MA_20,DROP
Distance_MA_50,-0.052,0.912589344439631,RSI_28,DROP
RSI_28,-0.045,0.912589344439631,Distance_MA_50,DROP
ROC_5,-0.043,0.7267332124826951,Distance_MA_20,DROP
ROC_20,-0.038,0.9822677096129604,Return_Vol_Ratio,DROP
Breakout_20,-0.032,0.64775813989915,Distance_MA_20,KEEP
Return_Vol_Ratio,-0.021,0.9822677096129604,ROC_20,DROP
ATR_14,-0.012,0.09598311271010729,Return_Vol_Ratio,KEEP
ZScore_Returns,-0.008,0.42541552342872074,Breakout_20,KEEP
